,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments,
43,1,1,reg,0,15,74,76,1M 14S,1M 16S,bottle,,bottle
1982,2,4,reg,0,172,1452,1454,24M 12S,24M 14S,refilable,,
1933,3,6,reg,0,193,2256,2260,37M 36S,37M 40S,bottle,,
436,4,9,reg,0,436,3232,3234,53M 52S,53M 54S,bottle,,
5119,5,11,reg,0,285,2918,2922,48M 38S,48M 42S,bottle,,
10710,6,12,reg,0,150,1698,1700,28M 18S,28M 20S,bucket,,
4253,7,14,reg,0,425,3580,3582,59M 40S,59M 42S,bucket,,
6726,8,18,reg,0,67,392,392,6M 32S,6M 32S,bottle,,
3507,9,19,reg,0,350,2432,2434,40M 32S,40M 34S,bottle,,
33514,10,1,new,0,335,2886,2888,48M 6S,48M 8S,bottle,,
141110,11,2,new,0,6,38,40,38S,40S,bottle,,
20122,12,3,new,0,20,658,664,10M 58S,11M 4S,bottle,,
23521,13,4,new,0,233,2170,2172,36M 10S,36M 12S,refillable,,
17341,14,5,new,dWashL,48,1618,1620,26M 58S,27M 0S,bottle,,
10551,15,6,new,0,29,752,756,12M 32S,12M 36S,bottle,,
16371,16,9,new,0,482,3888,3892,1H 4M 48S,1H 4M 52S,bottle,,
7934,17,10,new,0,793,6394,6400,1H 46M 34S,1H 46M 40S,bucket,,
10491,18,11,new,0,158,1806,1818,30M 6S,30M 18S,bottle,,
381121,19,12,new,0,14,82,86,1M 22S,1M 26S,bucket,,
15601,20,13,new,0,15,82,84,1M 22S,1M 24S,bottle,,
97131,21,15,new,0,97,592,596,9M 52S,9M 56S,bottle,,
89161,22,18,new,0,89,516,520,8M 36S,8M 40S,bottle,,
3770,23,19,new,0,37,310,312,5M 10S,5M 12S,bottle,,
